generation,rank_1,rank_2,swapAccepted
1290000,1,2,0
1291000,5,7,1
1292000,3,8,0
1293000,2,8,0
1294000,1,8,0
1295000,2,6,0
1296000,2,7,0
1297000,1,5,0
1298000,1,6,0
1299000,2,7,0
1300000,3,8,0
1301000,1,7,0
1302000,4,6,0
1303000,2,8,0
1304000,4,7,1
1305000,2,4,0
1306000,1,3,0
1307000,1,6,0
1308000,1,5,0
1309000,5,8,0
1310000,3,5,1
1311000,4,8,0
1312000,7,8,1
1313000,3,5,0
1314000,6,8,0
1315000,3,4,0
1316000,1,5,0
1317000,5,8,0
1318000,6,8,0
1319000,2,7,0
1320000,1,4,0
1321000,1,6,0
1322000,3,7,0
1323000,2,3,1
1324000,3,8,0
1325000,5,6,0
1326000,2,7,0
1327000,6,7,1
1328000,2,7,0
1329000,2,8,0
1330000,1,4,0
1331000,1,8,0
1332000,7,8,1
1333000,2,6,0
1334000,3,6,0
1335000,3,5,0
1336000,4,6,0
1337000,6,8,1
1338000,3,5,0
1339000,1,4,0
1340000,1,7,0
1341000,2,4,0
1342000,3,8,0
1343000,1,4,0
1344000,5,6,1
1345000,4,8,0
1346000,4,5,0
1347000,2,3,1
1348000,4,6,0
1349000,1,3,1
1350000,3,6,0
1351000,2,3,1
1352000,2,4,0
1353000,4,8,0
1354000,5,7,0
1355000,5,6,0
1356000,5,8,0
1357000,2,4,0
1358000,6,8,0
1359000,3,7,0
1360000,2,7,0
1361000,4,6,0
1362000,1,2,1
1363000,1,4,0
1364000,5,8,0
1365000,1,4,0
1366000,4,5,1
1367000,3,8,0
1368000,3,4,1
1369000,3,7,0
1370000,2,5,0
1371000,3,6,0
1372000,2,8,0
1373000,3,4,1
1374000,6,8,0
1375000,3,5,0
1376000,2,4,0
1377000,1,6,0
1378000,4,5,1
1379000,4,6,0
1380000,5,8,1
1381000,2,6,0
1382000,6,7,0
1383000,3,5,0
1384000,3,8,0
1385000,6,8,0
1386000,1,5,0
1387000,6,7,1
1388000,3,6,0
1389000,6,7,0
1390000,4,8,0
1391000,1,6,0
1392000,3,8,0
1393000,5,6,1
1394000,1,3,0
1395000,1,7,0
1396000,1,8,0
1397000,5,8,1
1398000,3,8,0
1399000,3,4,0
1400000,1,3,0
1401000,2,7,0
1402000,2,7,0
1403000,5,7,1
1404000,2,8,0
1405000,4,7,1
1406000,2,6,0
1407000,7,8,0
1408000,7,8,0
1409000,6,8,1
1410000,2,4,0
1411000,2,8,0
1412000,3,7,0
1413000,7,8,1
1414000,6,8,0
1415000,3,7,0
1416000,1,2,0
1417000,5,7,0
1418000,3,7,0
1419000,3,8,1
1420000,6,8,1
1421000,5,7,0
1422000,4,8,0
1423000,2,4,0
1424000,4,7,0
1425000,1,8,0
1426000,4,7,0
1427000,3,8,0
1428000,3,4,1
1429000,1,3,0
1430000,4,7,0
1431000,6,8,0
1432000,4,6,0
1433000,1,3,0
1434000,2,3,0
1435000,2,8,0
1436000,2,8,0
1437000,1,6,0
1438000,4,6,0
1439000,2,7,0
1440000,3,5,1
1441000,4,6,0
1442000,4,6,0
1443000,3,8,0
1444000,2,6,0
1445000,3,7,0
1446000,3,6,0
1447000,1,6,0
1448000,3,7,0
1449000,6,8,0
1450000,1,8,0
1451000,4,8,0
1452000,5,7,0
1453000,2,7,0
1454000,5,6,1
1455000,4,7,0
1456000,3,8,0
1457000,4,7,0
1458000,3,4,1
1459000,2,8,0
1460000,2,6,0
1461000,3,4,0
1462000,2,8,0
1463000,3,5,0
1464000,4,7,0
1465000,6,7,1
1466000,2,5,0
1467000,3,4,1
1468000,6,8,1
1469000,7,8,1
1470000,5,6,0
1471000,5,7,1
1472000,2,4,0
1473000,2,3,0
1474000,6,7,1
1475000,1,2,1
1476000,1,4,0
1477000,3,5,1
1478000,3,7,0
1479000,1,5,0
1480000,4,7,0
1481000,5,6,0
1482000,1,6,0
1483000,3,6,0
1484000,7,8,0
1485000,5,8,0
1486000,5,8,0
1487000,2,6,0
