generation,rank_1,rank_2,swapAccepted
1021000,7,8,0
1022000,2,8,0
1023000,3,8,0
1024000,2,7,0
1025000,3,8,0
1026000,3,4,1
1027000,1,4,0
1028000,2,4,0
1029000,5,6,0
1030000,5,6,1
1031000,6,7,0
1032000,2,8,0
1033000,5,8,1
1034000,2,7,0
1035000,5,8,0
1036000,4,6,0
1037000,2,7,0
1038000,2,3,1
1039000,2,4,1
1040000,3,5,1
1041000,3,6,0
1042000,2,8,0
1043000,1,5,0
1044000,5,7,0
1045000,2,8,0
1046000,6,7,1
1047000,6,7,1
1048000,5,8,0
1049000,1,6,0
1050000,4,6,1
1051000,3,5,0
1052000,2,6,0
1053000,5,7,0
1054000,1,6,0
1055000,5,6,1
1056000,1,4,0
1057000,1,5,0
1058000,6,8,0
1059000,1,7,0
1060000,1,8,0
1061000,2,7,0
1062000,1,5,0
1063000,1,7,0
1064000,4,5,1
1065000,7,8,1
1066000,3,4,0
1067000,1,5,0
1068000,4,7,0
1069000,6,7,1
1070000,3,4,1
1071000,4,6,1
1072000,4,5,0
1073000,4,5,1
1074000,4,6,0
1075000,5,7,0
1076000,1,4,0
1077000,5,7,0
1078000,7,8,1
1079000,4,7,0
1080000,5,7,1
1081000,2,5,0
1082000,3,5,0
1083000,2,6,0
1084000,1,2,0
1085000,2,5,0
1086000,2,5,0
1087000,2,3,0
1088000,5,7,0
1089000,2,5,0
1090000,1,4,0
1091000,2,8,0
1092000,4,6,0
1093000,2,4,0
1094000,1,4,0
1095000,2,5,0
1096000,3,5,0
1097000,3,5,1
1098000,6,7,0
1099000,1,8,0
1100000,6,7,0
1101000,6,7,1
1102000,5,8,0
1103000,1,4,0
1104000,2,8,0
1105000,2,7,0
1106000,6,8,0
1107000,3,8,0
1108000,3,6,0
1109000,7,8,0
1110000,1,3,0
1111000,1,3,0
1112000,2,5,0
1113000,1,5,0
1114000,6,7,0
1115000,6,8,0
1116000,1,6,0
1117000,3,6,0
1118000,3,7,0
1119000,1,2,0
1120000,4,5,1
1121000,2,6,0
1122000,1,4,0
1123000,1,2,0
1124000,5,7,0
1125000,1,7,0
1126000,6,8,0
1127000,1,8,0
1128000,1,5,0
1129000,1,8,0
1130000,1,4,0
1131000,5,8,0
1132000,1,5,0
1133000,2,7,0
1134000,2,5,0
1135000,2,3,0
1136000,1,3,0
1137000,5,7,0
1138000,7,8,0
1139000,6,7,1
1140000,1,8,0
1141000,2,8,0
1142000,1,8,0
1143000,2,7,0
1144000,5,6,1
1145000,2,6,0
1146000,2,7,0
1147000,5,7,0
1148000,2,4,0
1149000,5,8,0
1150000,1,4,0
1151000,7,8,1
1152000,3,8,0
1153000,6,7,0
1154000,1,8,0
1155000,3,8,0
1156000,2,6,0
1157000,1,4,0
1158000,2,3,1
1159000,6,7,1
1160000,1,4,0
1161000,2,7,0
1162000,3,8,0
1163000,3,6,0
1164000,3,5,0
1165000,1,5,0
1166000,3,6,1
1167000,4,8,0
1168000,3,6,0
1169000,1,7,0
1170000,6,7,0
1171000,1,6,0
1172000,4,6,0
1173000,2,8,0
1174000,5,6,1
1175000,6,8,0
1176000,1,3,0
1177000,7,8,0
1178000,1,5,0
1179000,3,8,0
1180000,1,2,0
1181000,4,5,1
1182000,2,3,1
1183000,2,8,0
1184000,5,6,0
1185000,2,3,1
1186000,1,3,0
1187000,1,4,0
1188000,2,7,0
1189000,2,5,0
1190000,5,7,0
1191000,1,5,0
1192000,6,8,0
1193000,3,7,0
1194000,1,6,0
1195000,3,4,1
1196000,1,4,0
1197000,5,8,0
1198000,5,8,0
1199000,3,7,0
1200000,7,8,1
1201000,1,7,0
1202000,5,8,0
1203000,1,8,0
1204000,2,7,0
1205000,5,6,0
1206000,4,8,0
1207000,2,3,1
1208000,3,4,1
1209000,6,7,0
1210000,3,4,0
1211000,3,8,0
1212000,5,7,0
1213000,3,8,0
1214000,4,7,0
1215000,1,7,0
1216000,4,5,0
1217000,5,7,0
1218000,6,7,0
1219000,1,2,1
1220000,6,8,1
1221000,6,8,1
1222000,1,7,0
1223000,4,6,0
1224000,2,5,0
1225000,4,7,0
1226000,1,8,0
1227000,7,8,1
1228000,3,8,0
1229000,2,4,0
1230000,5,6,0
1231000,3,4,1
1232000,6,7,1
1233000,1,8,0
1234000,5,6,1
1235000,5,7,1
1236000,5,8,0
1237000,3,8,0
1238000,3,7,0
1239000,4,7,0
1240000,1,2,0
1241000,2,7,0
1242000,2,6,0
1243000,4,8,0
1244000,1,7,0
1245000,4,8,0
1246000,5,7,0
1247000,3,8,0
1248000,4,7,0
1249000,5,8,0
1250000,2,8,0
1251000,5,8,0
1252000,4,5,0
1253000,7,8,0
1254000,4,7,0
1255000,2,3,1
1256000,3,6,0
1257000,6,8,1
1258000,3,4,1
1259000,5,8,0
1260000,2,6,0
1261000,1,3,0
1262000,2,5,0
1263000,5,6,1
1264000,5,7,1
1265000,4,6,0
1266000,2,8,0
1267000,4,5,0
1268000,1,7,0
1269000,5,7,1
1270000,1,2,0
1271000,2,6,0
1272000,2,6,0
1273000,6,8,0
1274000,5,7,0
1275000,3,4,0
1276000,1,2,1
1277000,3,5,0
1278000,1,8,0
1279000,5,7,1
1280000,3,8,0
1281000,3,6,0
1282000,3,8,0
1283000,2,7,0
1284000,4,8,0
1285000,1,7,0
1286000,1,7,0
1287000,4,8,0
1288000,3,8,0
1289000,2,8,0
1290000,4,6,0
1291000,2,7,0
1292000,1,3,0
1293000,1,4,0
1294000,1,6,0
1295000,4,5,1
1296000,5,7,0
1297000,2,6,0
1298000,4,6,0
1299000,5,7,1
1300000,1,3,0
1301000,5,6,0
1302000,4,8,0
1303000,1,7,0
1304000,5,8,0
1305000,5,7,1
1306000,3,6,0
1307000,4,6,1
1308000,2,4,0
1309000,1,2,0
1310000,2,3,1
1311000,1,7,0
1312000,1,8,0
1313000,2,3,0
1314000,6,8,0
1315000,3,7,0
1316000,2,4,0
1317000,2,8,0
1318000,6,8,0
1319000,1,5,0
1320000,4,7,0
1321000,4,6,1
1322000,1,3,0
1323000,3,5,1
1324000,3,8,0
1325000,2,4,0
1326000,1,5,0
1327000,1,4,1
1328000,1,5,0
