generation,N_shifts,logPrior,logLik,eventRate,acceptRate
13770000,25,78.8623,50.2835,27.9056,0.204933
13800000,25,87.6325,20.7034,31.0715,0.213533
13830000,23,84.8913,45.6033,29.9912,0.217467
13860000,17,66.0367,72.1075,19.644,0.219533
13890000,17,57.4423,64.4888,11.6591,0.2157
13920000,10,30.3731,60.9147,7.11727,0.206767
13950000,17,61.3914,50.7133,18.9882,0.211433
13980000,17,56.4425,41.5279,14.1731,0.206267
14010000,35,127.853,64.3408,27.9662,0.213767
14040000,20,71.9961,76.5669,15.4242,0.2046
14070000,23,75.8236,77.6096,30.7639,0.206967
14100000,19,70.0068,65.7758,19.9718,0.2015
14130000,24,79.6124,42.0646,22.9804,0.212067
14160000,14,47.8282,8.53025,12.7638,0.215833
14190000,39,142.243,65.2907,26.4619,0.2105
14220000,43,151.051,52.4051,45.6027,0.2085
14250000,19,62.0778,3.84867,21.3201,0.218833
14280000,19,54.1695,36.0677,18.7863,0.211233
14310000,16,62.2586,73.6018,12.9887,0.2146
14340000,26,97.9231,41.9068,29.6371,0.211333
14370000,17,63.4867,15.8186,19.9666,0.217867
14400000,20,72.0447,44.9733,20.5522,0.215633
14430000,29,107.862,73.0925,28.024,0.2134
14460000,28,105.66,73.0177,34.6726,0.206333
14490000,25,87.8897,62.8699,38.961,0.202767
14520000,34,118.148,10.8216,29.5265,0.211533
14550000,23,87.5684,54.2556,20.7445,0.212133
14580000,36,133.519,60.1732,26.6487,0.202533
14610000,21,69.2006,60.9411,22.0433,0.214333
14640000,37,119.389,23.9687,33.1404,0.212733
14670000,28,103.231,50.9893,22.6042,0.209567
14700000,34,116.453,62.7733,23.9893,0.213233
14730000,26,90.2915,22.8156,20.7974,0.212633
14760000,21,57.7936,45.6299,20.1504,0.2155
14790000,12,40.0011,8.83247,12.44,0.211333
14820000,22,78.3115,53.1704,13.9237,0.217167
14850000,31,100.447,75.3016,25.7754,0.211333
14880000,23,81.4955,80.5625,19.2579,0.199067
14910000,26,89.4363,54.777,21.476,0.1995
14940000,19,61.1184,27.7779,20.7473,0.2138
14970000,32,108.229,32.6521,34.3226,0.212567
